%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1520814052782243001,106,1520814052780868053,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814053785880269,107,1520814053784977912,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814054793934085,108,1520814054792705059,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814055800248484,109,1520814055798975944,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814056800624617,110,1520814056799467086,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814057757398792,111,1520814057756321907,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814058784812568,112,1520814058783684968,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814059784657854,113,1520814059783693075,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814060833374063,114,1520814060833161115,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814061765653287,115,1520814061764676094,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814062727324698,116,1520814062726593017,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814063785470810,117,1520814063784879922,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814064775614628,118,1520814064774869918,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814065764632088,119,1520814065763902902,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814066786495587,120,1520814066785765886,map,1,1,21.4325033333,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814067810280772,121,1520814067809442996,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814068812984037,122,1520814068812398910,map,1,1,21.432505,-157.789298333,21.0,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
